Waypoints
Date,Name,Latitude,Longitude,Altitude (m),Notes
2018-03-24 10:37:31.74,,52.045127,5.172255,-1.69091796875,"(null)"
2018-03-24 10:38:23.06,,52.045117,5.171451,5.51031494140625,"(null)"
2018-03-24 10:39:19.19,,52.044837,5.170666,2.15045166015625,"(null)"
2018-03-24 10:40:31.62,,52.044992,5.169944,3.0999755859375,"(null)"
2018-03-24 10:41:18.10,,52.045040,5.169177,1.4921875,"(null)"
2018-03-24 10:43:04.32,,52.044808,5.168568,-1.61236572265625,"(null)"
2018-03-24 10:43:51.03,,52.044582,5.167930,-1.67547607421875,"(null)"
2018-03-24 10:45:06.88,,52.044588,5.167926,-0.92132568359375,"(null)"
2018-03-24 10:45:50.23,,52.044726,5.167269,-0.60565185546875,"(null)"
2018-03-24 10:46:22.61,,52.044730,5.167247,1.7921142578125,"(null)"
2018-03-24 10:46:58.01,,52.044724,5.166564,2.37554931640625,"(null)"
2018-03-24 10:47:40.04,,52.044677,5.165843,3.09918212890625,"(null)"
2018-03-24 10:48:15.66,,52.044609,5.165150,5.23193359375,"(null)"
2018-03-24 10:49:21.33,,52.044375,5.164228,4.5018310546875,"(null)"
2018-03-24 10:50:04.81,,52.044813,5.164192,0.958740234375,"(null)"
2018-03-24 10:51:22.95,,52.045333,5.164196,-4.811279296875,"(null)"
2018-03-24 10:51:59.10,,52.045667,5.164212,-2.63934326171875,"(null)"
2018-03-24 10:52:42.79,,52.045674,5.164982,0.18780517578125,"(null)"
2018-03-24 10:53:14.37,,52.045679,5.164985,-0.49822998046875,"(null)"
2018-03-24 10:53:58.32,,52.045679,5.165863,-1.4112548828125,"(null)"
2018-03-24 10:55:21.62,,52.045649,5.166826,-2.62628173828125,"(null)"
2018-03-24 10:56:00.28,,52.045665,5.167587,-5.84564208984375,"(null)"
2018-03-24 10:56:47.61,,52.045715,5.168509,-4.2467041015625,"(null)"
2018-03-24 10:57:32.16,,52.045736,5.169164,-6.03851318359375,"(null)"
2018-03-24 10:58:21.86,,52.045734,5.170041,-8.76849365234375,"(null)"
2018-03-24 10:59:28.50,,52.045719,5.170805,-10.24407958984375,"(null)"
2018-03-24 11:00:06.62,,52.045727,5.171590,-9.6080322265625,"(null)"
2018-03-24 11:00:42.19,,52.045778,5.172285,-7.87518310546875,"(null)"
2018-03-24 11:01:24.83,,52.045795,5.173190,-4.40325927734375,"(null)"

Track
Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2018-03-24 10:38:02.00,2018-03-24 11:38:02.00,104.530396938324,52.045170,5.171820,5,2.15411376953125,4,87.3312032106498,1.570000052452087,1.530416455258927,263.671875,210.7271118164062,209.4050445556641,25,8.312221439905667
2018-03-24 10:38:05.00,2018-03-24 11:38:05.00,107.5303972959518,52.045156,5.171743,5,3.34979248046875,4,92.79754403958466,1.759999990463257,1.530416455258927,252.7734375,203.0732574462891,201.7511901855469,25,9.686892396870082
2018-03-24 10:38:08.00,2018-03-24 11:38:08.00,110.5303963422775,52.045134,5.171673,5,3.90997314453125,4,98.18314422205475,1.759999990463257,1.530416455258927,275.2734375,195.5330505371094,194.2109832763672,25,10.97021146652987
2018-03-24 10:38:12.00,2018-03-24 11:38:12.00,114.530397772789,52.045135,5.171592,5,6.3082275390625,4,103.7217161099886,1.620000004768372,1.530416455258927,263.671875,190.1951751708984,188.8731079101562,25,9.50969798933604
2018-03-24 10:38:14.19,2018-03-24 11:38:14.19,114.530397772789,52.045135,5.171592,5,7.1793212890625,4,103.7217161099886,1.620000004768372,1.528993858078573,263.671875,190.1951751708984,188.8731079101562,25,9.50969798933604
2018-03-24 10:38:16.00,2018-03-24 11:38:16.00,118.5303962230682,52.045133,5.171509,5,6.65899658203125,4,109.4495033305001,1.429999947547913,1.528993858078573,247.1484375,190.4398651123047,189.1177978515625,25,8.673991743690966
2018-03-24 10:38:29.19,2018-03-24 11:38:29.19,118.5303962230682,52.045133,5.171509,5,5.5657958984375,4,109.4495033305001,1.429999947547913,0,247.1484375,190.4398651123047,189.1177978515625,25,8.673991743690966
2018-03-24 10:38:36.00,2018-03-24 11:38:36.00,138.5303966999054,52.045096,5.171461,5,5.54833984375,4,114.6638176149212,1.259999990463257,0,246.4453125,186.1277770996094,184.8057098388672,25,8.641336397520151
2018-03-24 10:38:40.00,2018-03-24 11:38:40.00,142.530396938324,52.045074,5.171374,5,4.78125,4,121.1238537011898,1.470000028610229,0,238.7109375,180.7466888427734,179.4246215820312,25,11.49047169229036
2018-03-24 10:38:44.00,2018-03-24 11:38:44.00,146.5303963422775,52.045048,5.171288,5,5.27734375,4,127.6824160538085,1.529999971389771,0,229.21875,164.5759582519531,163.2538909912109,25,57.51735331946796
2018-03-24 10:38:44.19,2018-03-24 11:38:44.19,146.5303963422775,52.045048,5.171288,5,5.5582275390625,4,127.6824160538085,1.529999971389771,1.654901847163353,229.21875,164.5759582519531,163.2538909912109,25,57.51735331946796
